Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,-
1,,,2,0,,2,,0,,,,1,1,,,1
2,,,3,1,2,5,,1,0,0,0,6,2,0,0,2
3,,,4,2,6,7,,2,1,2,2,11,3,2,1,3
4,1,0,5,3,9,9,,3,3,4,3,17,4,3,2,4
5,4,1,6,4,13,11,,4,4,6,5,21,5,4,3,5
6,6,3,,5,16,13,1,5,5,8,6,26,,6,4,6
7,8,4,7,6,21,16,2,6,7,10,8,32,6,7,5,7
8,11,5,8,7,25,18,4,8,8,12,10,38,7,8,6,8
9,13,6,9,9,29,20,5,9,9,15,11,41,8,9,7,9
10,15,8,10,10,33,22,7,10,10,17,13,45,,11,8,10
11,18,9,,11,37,24,9,11,12,19,14,49,9,12,9,11
12,20,11,11,12,41,26,10,12,13,21,16,54,,13,10,12
13,22,12,12,13,44,28,12,13,15,23,18,58,10,15,11,13
14,25,13,13,14,48,30,13,,16,25,19,62,11,16,12,14
15,27,15,14,16,52,33,15,14,17,27,21,67,12,17,13,15
16,29,16,,17,56,35,17,15,19,29,22,71,,18,14,16
17,31,18,15,18,60,37,18,16,20,31,24,75,13,20,,17
18,34,19,16,19,64,39,20,17,21,34,26,80,14,21,15,18
19,68,44,32,28,65,68,30,35,42,45,38,136,33,34,24,19